,n_viajes
2021-04-01 00:00:00,78.294
2021-04-01 01:00:00,27.616
2021-04-01 02:00:00,30.512999999999998
2021-04-01 03:00:00,28.543
2021-04-01 04:00:00,19.683
2021-04-01 05:00:00,58.701
2021-04-01 06:00:00,80.858
2021-04-01 07:00:00,108.712
2021-04-01 08:00:00,180.895
2021-04-01 09:00:00,130.929
2021-04-01 10:00:00,248.298
2021-04-01 11:00:00,240.753
2021-04-01 12:00:00,347.376
2021-04-01 13:00:00,315.976
2021-04-01 14:00:00,260.67
2021-04-01 15:00:00,337.153
2021-04-01 16:00:00,284.457
2021-04-01 17:00:00,340.992
2021-04-01 18:00:00,324.851
2021-04-01 19:00:00,198.26
2021-04-01 20:00:00,214.649
2021-04-01 21:00:00,172.53
2021-04-01 22:00:00,143.827
2021-04-01 23:00:00,22.668999999999997
2021-04-02 00:00:00,9.75
2021-04-02 01:00:00,15.335
2021-04-02 02:00:00,5.745
2021-04-02 03:00:00,19.993
2021-04-02 04:00:00,28.547
2021-04-02 05:00:00,31.71
2021-04-02 06:00:00,21.775
2021-04-02 07:00:00,67.207
2021-04-02 08:00:00,99.378
2021-04-02 09:00:00,113.26599999999999
2021-04-02 10:00:00,159.58
2021-04-02 11:00:00,173.543
2021-04-02 12:00:00,211.539
2021-04-02 13:00:00,244.142
2021-04-02 14:00:00,256.963
2021-04-02 15:00:00,233.734
2021-04-02 16:00:00,428.704
2021-04-02 17:00:00,381.222
2021-04-02 18:00:00,399.139
2021-04-02 19:00:00,303.334
2021-04-02 20:00:00,277.257
2021-04-02 21:00:00,233.822
2021-04-02 22:00:00,218.0
2021-04-02 23:00:00,23.021
2021-04-03 00:00:00,26.250999999999998
2021-04-03 01:00:00,30.216
2021-04-03 02:00:00,32.476
2021-04-03 03:00:00,5.665
2021-04-03 04:00:00,5.665
2021-04-03 05:00:00,50.949
2021-04-03 06:00:00,77.741
2021-04-03 07:00:00,190.873
2021-04-03 08:00:00,230.326
2021-04-03 09:00:00,253.87900000000002
2021-04-03 10:00:00,303.559
2021-04-03 11:00:00,360.13
2021-04-03 12:00:00,367.878
2021-04-03 13:00:00,520.131
2021-04-03 14:00:00,320.52
2021-04-03 15:00:00,274.371
2021-04-03 16:00:00,365.294
2021-04-03 17:00:00,367.086
2021-04-03 18:00:00,382.601
2021-04-03 19:00:00,319.02
2021-04-03 20:00:00,317.121
2021-04-03 21:00:00,240.676
2021-04-03 22:00:00,186.685
2021-04-03 23:00:00,19.221
2021-04-04 00:00:00,5.772
2021-04-04 01:00:00,29.380000000000003
2021-04-04 02:00:00,23.706
2021-04-04 03:00:00,
2021-04-04 04:00:00,
2021-04-04 05:00:00,25.234
2021-04-04 06:00:00,61.367
2021-04-04 07:00:00,80.904
2021-04-04 08:00:00,91.449
2021-04-04 09:00:00,141.578
2021-04-04 10:00:00,231.607
2021-04-04 11:00:00,216.519
2021-04-04 12:00:00,237.752
2021-04-04 13:00:00,258.492
2021-04-04 14:00:00,307.684
2021-04-04 15:00:00,346.116
2021-04-04 16:00:00,439.915
2021-04-04 17:00:00,431.558
2021-04-04 18:00:00,404.586
2021-04-04 19:00:00,359.565
2021-04-04 20:00:00,297.62
2021-04-04 21:00:00,209.575
2021-04-04 22:00:00,73.276
2021-04-04 23:00:00,35.673
2021-04-05 00:00:00,5.784
2021-04-05 01:00:00,19.914
2021-04-05 02:00:00,5.501
2021-04-05 03:00:00,12.697
2021-04-05 04:00:00,44.835
2021-04-05 05:00:00,170.167
2021-04-05 06:00:00,335.721
2021-04-05 07:00:00,533.113
2021-04-05 08:00:00,453.44100000000003
2021-04-05 09:00:00,336.802
2021-04-05 10:00:00,288.882
2021-04-05 11:00:00,290.403
2021-04-05 12:00:00,287.868
2021-04-05 13:00:00,352.53200000000004
2021-04-05 14:00:00,359.55
2021-04-05 15:00:00,297.016
2021-04-05 16:00:00,304.496
2021-04-05 17:00:00,475.496
2021-04-05 18:00:00,410.93
2021-04-05 19:00:00,263.555
2021-04-05 20:00:00,144.117
2021-04-05 21:00:00,137.589
2021-04-05 22:00:00,83.00200000000001
2021-04-05 23:00:00,29.779000000000003
2021-04-06 00:00:00,70.454
2021-04-06 01:00:00,18.889
2021-04-06 02:00:00,19.092
2021-04-06 03:00:00,27.061
2021-04-06 04:00:00,62.112
2021-04-06 05:00:00,100.731
2021-04-06 06:00:00,286.497
2021-04-06 07:00:00,460.722
2021-04-06 08:00:00,461.848
2021-04-06 09:00:00,283.976
2021-04-06 10:00:00,247.585
2021-04-06 11:00:00,336.251
2021-04-06 12:00:00,477.071
2021-04-06 13:00:00,285.85699999999997
2021-04-06 14:00:00,495.577
2021-04-06 15:00:00,471.17199999999997
2021-04-06 16:00:00,472.69
2021-04-06 17:00:00,441.568
2021-04-06 18:00:00,374.631
2021-04-06 19:00:00,365.43
2021-04-06 20:00:00,252.48999999999998
2021-04-06 21:00:00,87.404
2021-04-06 22:00:00,77.462
2021-04-06 23:00:00,23.744
2021-04-07 00:00:00,26.335
2021-04-07 01:00:00,6.458
2021-04-07 02:00:00,37.846000000000004
2021-04-07 03:00:00,28.953
2021-04-07 04:00:00,62.414
2021-04-07 05:00:00,152.459
2021-04-07 06:00:00,305.974
2021-04-07 07:00:00,362.256
2021-04-07 08:00:00,454.946
2021-04-07 09:00:00,411.057
2021-04-07 10:00:00,303.646
2021-04-07 11:00:00,347.911
2021-04-07 12:00:00,341.422
2021-04-07 13:00:00,447.557
2021-04-07 14:00:00,534.728
2021-04-07 15:00:00,376.216
2021-04-07 16:00:00,492.967
2021-04-07 17:00:00,494.262
2021-04-07 18:00:00,471.867
2021-04-07 19:00:00,333.916
2021-04-07 20:00:00,253.125
2021-04-07 21:00:00,189.56400000000002
2021-04-07 22:00:00,95.306
2021-04-07 23:00:00,19.542
2021-04-08 00:00:00,58.226
2021-04-08 01:00:00,29.421
2021-04-08 02:00:00,39.072
2021-04-08 03:00:00,48.951
2021-04-08 04:00:00,46.144
2021-04-08 05:00:00,108.758
2021-04-08 06:00:00,251.751
2021-04-08 07:00:00,431.591
2021-04-08 08:00:00,413.377
2021-04-08 09:00:00,376.344
2021-04-08 10:00:00,356.87
2021-04-08 11:00:00,339.502
2021-04-08 12:00:00,320.748
2021-04-08 13:00:00,427.766
2021-04-08 14:00:00,487.188
2021-04-08 15:00:00,312.387
2021-04-08 16:00:00,416.972
2021-04-08 17:00:00,340.318
2021-04-08 18:00:00,472.725
2021-04-08 19:00:00,225.553
2021-04-08 20:00:00,173.40200000000002
2021-04-08 21:00:00,107.614
2021-04-08 22:00:00,87.744
2021-04-08 23:00:00,19.168
2021-04-09 00:00:00,42.178
2021-04-09 01:00:00,39.064
2021-04-09 02:00:00,28.279000000000003
2021-04-09 03:00:00,46.676
2021-04-09 04:00:00,53.184
2021-04-09 05:00:00,154.226
2021-04-09 06:00:00,288.453
2021-04-09 07:00:00,461.864
2021-04-09 08:00:00,473.057
2021-04-09 09:00:00,355.903
2021-04-09 10:00:00,321.423
2021-04-09 11:00:00,314.197
2021-04-09 12:00:00,329.528
2021-04-09 13:00:00,457.408
2021-04-09 14:00:00,476.34499999999997
2021-04-09 15:00:00,369.76
2021-04-09 16:00:00,388.923
2021-04-09 17:00:00,447.125
2021-04-09 18:00:00,412.401
2021-04-09 19:00:00,369.464
2021-04-09 20:00:00,218.91199999999998
2021-04-09 21:00:00,195.57399999999998
2021-04-09 22:00:00,124.068
2021-04-09 23:00:00,13.23
2021-04-10 00:00:00,64.652
2021-04-10 01:00:00,7.878
2021-04-10 02:00:00,41.412
2021-04-10 03:00:00,7.388
2021-04-10 04:00:00,16.916
2021-04-10 05:00:00,88.794
2021-04-10 06:00:00,125.751
2021-04-10 07:00:00,98.492
2021-04-10 08:00:00,206.326
2021-04-10 09:00:00,348.226
2021-04-10 10:00:00,332.551
2021-04-10 11:00:00,341.864
2021-04-10 12:00:00,356.512
2021-04-10 13:00:00,332.073
2021-04-10 14:00:00,173.977
2021-04-10 15:00:00,271.318
2021-04-10 16:00:00,217.797
2021-04-10 17:00:00,303.956
2021-04-10 18:00:00,196.558
2021-04-10 19:00:00,291.501
2021-04-10 20:00:00,270.571
2021-04-10 21:00:00,157.819
2021-04-10 22:00:00,129.877
2021-04-10 23:00:00,31.369
2021-04-11 00:00:00,16.382
2021-04-11 01:00:00,6.379
2021-04-11 02:00:00,
2021-04-11 03:00:00,17.39
2021-04-11 04:00:00,13.732
2021-04-11 05:00:00,31.314999999999998
2021-04-11 06:00:00,79.344
2021-04-11 07:00:00,36.098
2021-04-11 08:00:00,58.105000000000004
2021-04-11 09:00:00,64.725
2021-04-11 10:00:00,68.461
2021-04-11 11:00:00,299.062
2021-04-11 12:00:00,253.095
2021-04-11 13:00:00,298.34
2021-04-11 14:00:00,349.962
2021-04-11 15:00:00,334.273
2021-04-11 16:00:00,308.313
2021-04-11 17:00:00,373.51099999999997
2021-04-11 18:00:00,404.279
2021-04-11 19:00:00,299.324
2021-04-11 20:00:00,264.48
2021-04-11 21:00:00,155.981
2021-04-11 22:00:00,144.21
2021-04-11 23:00:00,7.385
2021-04-12 00:00:00,38.716
2021-04-12 01:00:00,42.617999999999995
2021-04-12 02:00:00,25.014
2021-04-12 03:00:00,32.821
2021-04-12 04:00:00,98.85
2021-04-12 05:00:00,116.874
2021-04-12 06:00:00,362.39300000000003
2021-04-12 07:00:00,515.979
2021-04-12 08:00:00,425.454
2021-04-12 09:00:00,378.977
2021-04-12 10:00:00,251.327
2021-04-12 11:00:00,317.974
2021-04-12 12:00:00,372.75600000000003
2021-04-12 13:00:00,415.377
2021-04-12 14:00:00,468.586
2021-04-12 15:00:00,413.997
2021-04-12 16:00:00,460.40999999999997
2021-04-12 17:00:00,426.394
2021-04-12 18:00:00,416.202
2021-04-12 19:00:00,271.902
2021-04-12 20:00:00,188.145
2021-04-12 21:00:00,139.26999999999998
2021-04-12 22:00:00,97.405
2021-04-12 23:00:00,35.87
2021-04-13 00:00:00,33.562
2021-04-13 01:00:00,55.641999999999996
2021-04-13 02:00:00,60.31
2021-04-13 03:00:00,37.165
2021-04-13 04:00:00,95.578
2021-04-13 05:00:00,117.694
2021-04-13 06:00:00,309.563
2021-04-13 07:00:00,500.376
2021-04-13 08:00:00,353.04999999999995
2021-04-13 09:00:00,388.329
2021-04-13 10:00:00,295.16499999999996
2021-04-13 11:00:00,368.948
2021-04-13 12:00:00,289.77299999999997
2021-04-13 13:00:00,410.88
2021-04-13 14:00:00,488.283
2021-04-13 15:00:00,485.005
2021-04-13 16:00:00,430.945
2021-04-13 17:00:00,475.55899999999997
2021-04-13 18:00:00,351.941
2021-04-13 19:00:00,299.211
2021-04-13 20:00:00,222.311
2021-04-13 21:00:00,130.31
2021-04-13 22:00:00,126.711
2021-04-13 23:00:00,56.336999999999996
2021-04-14 00:00:00,31.979
2021-04-14 01:00:00,26.781
2021-04-14 02:00:00,45.269999999999996
2021-04-14 03:00:00,10.789
2021-04-14 04:00:00,70.822
2021-04-14 05:00:00,101.86
2021-04-14 06:00:00,300.54
2021-04-14 07:00:00,462.66200000000003
2021-04-14 08:00:00,484.964
2021-04-14 09:00:00,253.491
2021-04-14 10:00:00,272.58
2021-04-14 11:00:00,325.338
2021-04-14 12:00:00,466.14799999999997
2021-04-14 13:00:00,440.869
2021-04-14 14:00:00,522.168
2021-04-14 15:00:00,461.175
2021-04-14 16:00:00,544.409
2021-04-14 17:00:00,389.535
2021-04-14 18:00:00,435.58299999999997
2021-04-14 19:00:00,326.177
2021-04-14 20:00:00,165.82
2021-04-14 21:00:00,231.084
2021-04-14 22:00:00,141.777
2021-04-14 23:00:00,13.709
2021-04-15 00:00:00,33.992
2021-04-15 01:00:00,26.944
2021-04-15 02:00:00,38.432
2021-04-15 03:00:00,32.32
2021-04-15 04:00:00,67.831
2021-04-15 05:00:00,92.55799999999999
2021-04-15 06:00:00,246.641
2021-04-15 07:00:00,331.769
2021-04-15 08:00:00,454.814
2021-04-15 09:00:00,355.77
2021-04-15 10:00:00,303.521
2021-04-15 11:00:00,287.738
2021-04-15 12:00:00,309.11400000000003
2021-04-15 13:00:00,432.495
2021-04-15 14:00:00,485.15
2021-04-15 15:00:00,393.206
2021-04-15 16:00:00,447.307
2021-04-15 17:00:00,363.752
2021-04-15 18:00:00,383.116
2021-04-15 19:00:00,287.36
2021-04-15 20:00:00,145.939
2021-04-15 21:00:00,160.943
2021-04-15 22:00:00,99.398
2021-04-15 23:00:00,32.974000000000004
2021-04-16 00:00:00,13.264
2021-04-16 01:00:00,14.104
2021-04-16 02:00:00,63.16
2021-04-16 03:00:00,53.485
2021-04-16 04:00:00,50.501
2021-04-16 05:00:00,117.108
2021-04-16 06:00:00,252.12
2021-04-16 07:00:00,484.032
2021-04-16 08:00:00,363.95
2021-04-16 09:00:00,266.161
2021-04-16 10:00:00,293.946
2021-04-16 11:00:00,291.349
2021-04-16 12:00:00,363.708
2021-04-16 13:00:00,509.654
2021-04-16 14:00:00,605.53
2021-04-16 15:00:00,462.71000000000004
2021-04-16 16:00:00,361.439
2021-04-16 17:00:00,386.962
2021-04-16 18:00:00,405.16700000000003
2021-04-16 19:00:00,298.514
2021-04-16 20:00:00,243.376
2021-04-16 21:00:00,199.616
2021-04-16 22:00:00,64.396
2021-04-16 23:00:00,24.35
2021-04-17 00:00:00,48.206
2021-04-17 01:00:00,37.808
2021-04-17 02:00:00,71.395
2021-04-17 03:00:00,35.877
2021-04-17 04:00:00,46.358
2021-04-17 05:00:00,39.155
2021-04-17 06:00:00,101.64099999999999
2021-04-17 07:00:00,123.46000000000001
2021-04-17 08:00:00,262.371
2021-04-17 09:00:00,173.688
2021-04-17 10:00:00,270.735
2021-04-17 11:00:00,401.604
2021-04-17 12:00:00,337.685
2021-04-17 13:00:00,382.17699999999996
2021-04-17 14:00:00,275.501
2021-04-17 15:00:00,232.822
2021-04-17 16:00:00,364.347
2021-04-17 17:00:00,177.946
2021-04-17 18:00:00,244.123
2021-04-17 19:00:00,335.041
2021-04-17 20:00:00,263.60699999999997
2021-04-17 21:00:00,169.001
2021-04-17 22:00:00,144.287
2021-04-17 23:00:00,21.863
2021-04-18 00:00:00,25.180999999999997
2021-04-18 01:00:00,25.717
2021-04-18 02:00:00,5.68
2021-04-18 03:00:00,
2021-04-18 04:00:00,26.214
2021-04-18 05:00:00,56.768
2021-04-18 06:00:00,35.902
2021-04-18 07:00:00,51.634
2021-04-18 08:00:00,63.653
2021-04-18 09:00:00,91.623
2021-04-18 10:00:00,127.122
2021-04-18 11:00:00,153.07999999999998
2021-04-18 12:00:00,352.92699999999996
2021-04-18 13:00:00,357.908
2021-04-18 14:00:00,241.244
2021-04-18 15:00:00,314.329
2021-04-18 16:00:00,293.529
2021-04-18 17:00:00,280.276
2021-04-18 18:00:00,416.707
2021-04-18 19:00:00,299.05899999999997
2021-04-18 20:00:00,322.737
2021-04-18 21:00:00,163.74699999999999
2021-04-18 22:00:00,65.095
2021-04-18 23:00:00,8.644
2021-04-19 00:00:00,19.892
2021-04-19 01:00:00,37.045
2021-04-19 02:00:00,38.326
2021-04-19 03:00:00,28.653
2021-04-19 04:00:00,70.611
2021-04-19 05:00:00,147.114
2021-04-19 06:00:00,300.985
2021-04-19 07:00:00,448.82
2021-04-19 08:00:00,547.622
2021-04-19 09:00:00,324.858
2021-04-19 10:00:00,283.878
2021-04-19 11:00:00,313.349
2021-04-19 12:00:00,291.222
2021-04-19 13:00:00,367.268
2021-04-19 14:00:00,440.473
2021-04-19 15:00:00,498.12399999999997
2021-04-19 16:00:00,373.967
2021-04-19 17:00:00,353.692
2021-04-19 18:00:00,312.639
2021-04-19 19:00:00,326.72
2021-04-19 20:00:00,213.677
2021-04-19 21:00:00,132.992
2021-04-19 22:00:00,67.22
2021-04-19 23:00:00,18.859
2021-04-20 00:00:00,43.153
2021-04-20 01:00:00,57.925000000000004
2021-04-20 02:00:00,44.0
2021-04-20 03:00:00,31.861
2021-04-20 04:00:00,27.867
2021-04-20 05:00:00,159.28
2021-04-20 06:00:00,234.465
2021-04-20 07:00:00,482.205
2021-04-20 08:00:00,470.334
2021-04-20 09:00:00,296.663
2021-04-20 10:00:00,287.494
2021-04-20 11:00:00,389.621
2021-04-20 12:00:00,306.493
2021-04-20 13:00:00,397.523
2021-04-20 14:00:00,487.034
2021-04-20 15:00:00,518.083
2021-04-20 16:00:00,444.43600000000004
2021-04-20 17:00:00,420.015
2021-04-20 18:00:00,363.653
2021-04-20 19:00:00,330.255
2021-04-20 20:00:00,230.81300000000002
2021-04-20 21:00:00,150.322
2021-04-20 22:00:00,100.61
2021-04-20 23:00:00,20.083
2021-04-21 00:00:00,5.404
2021-04-21 01:00:00,26.3
2021-04-21 02:00:00,17.441000000000003
2021-04-21 03:00:00,62.194
2021-04-21 04:00:00,90.188
2021-04-21 05:00:00,158.785
2021-04-21 06:00:00,238.518
2021-04-21 07:00:00,512.239
2021-04-21 08:00:00,524.343
2021-04-21 09:00:00,272.904
2021-04-21 10:00:00,326.31
2021-04-21 11:00:00,311.213
2021-04-21 12:00:00,299.832
2021-04-21 13:00:00,418.339
2021-04-21 14:00:00,529.601
2021-04-21 15:00:00,351.904
2021-04-21 16:00:00,326.144
2021-04-21 17:00:00,392.779
2021-04-21 18:00:00,447.775
2021-04-21 19:00:00,301.349
2021-04-21 20:00:00,231.45
2021-04-21 21:00:00,176.073
2021-04-21 22:00:00,48.385
2021-04-21 23:00:00,43.074
2021-04-22 00:00:00,40.837
2021-04-22 01:00:00,54.376
2021-04-22 02:00:00,25.401
