fecha,indicativo,nombre,provincia,tmin,longitud,latitud,altitud
2021-01-06,4358X,DON BENITO,BADAJOZ,-4.7,-5.880555555555556,38.955555555555556,273
2021-01-06,4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,-7,-4.616388888888888,39.08861111111111,486
2021-01-06,6106X,ANTEQUERA,MALAGA,4.7,-4.748333333333333,37.029444444444444,408
2021-01-06,9698U,TALARN,LLEIDA,-6.8,0.8652777777777777,42.20527777777778,807
2021-01-06,4410X,MÉRIDA,BADAJOZ,-3.4,-6.385555555555556,38.91583333333333,228
2021-01-06,1331A,CASTROPOL,ASTURIAS,1,-7.0313888888888885,43.52472222222222,40
2021-01-06,1690A,OURENSE,OURENSE,-0.1,-7.859722222222222,42.32527777777778,143
2021-01-06,8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,-8,-0.25583333333333336,40.43333333333333,1131
2021-01-06,8025,ALICANTE/ALACANT,ALICANTE,2,-0.49416666666666664,38.3725,81
2021-01-06,9784P,BIELSA,HUESCA,-10,0.22472222222222224,42.63,992
2021-01-06,2331,BURGOS AEROPUERTO,BURGOS,-6.3,-3.620277777777778,42.356944444444444,891
2021-01-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,-2.7,-1.0041666666666667,41.660555555555554,249
2021-01-06,1109,SANTANDER AEROPUERTO,CANTABRIA,1.6,-3.8255555555555554,43.42388888888889,3
2021-01-06,6293X,ROQUETAS DE MAR,ALMERIA,9.5,-2.7016666666666667,36.68694444444444,3
2021-01-06,1212E,ASTURIAS AEROPUERTO,ASTURIAS,2.1,-6.0441666666666665,43.566944444444445,127
2021-01-06,9394X,CALATAYUD,ZARAGOZA,-6.5,-1.6452777777777778,41.33111111111111,582
2021-01-06,3094B,TARANCÓN,CUENCA,-2.6,-3.0213888888888887,40.01138888888889,808
2021-01-06,1059X,PUNTA GALEA,BIZKAIA,3.7,-3.0216666666666665,43.375,90
2021-01-06,1207U,"GIJÓN, CAMPUS",ASTURIAS,-1,-5.621111111111111,43.52305555555555,26
2021-01-06,6367B,HUÉRCAL-OVERA,ALMERIA,4.5,-1.9436111111111112,37.39055555555556,300
2021-01-06,7228,"ALCANTARILLA, BASE AÉREA",MURCIA,-0.5,-1.2286111111111113,37.95777777777778,75
2021-01-06,7002Y,ÁGUILAS,MURCIA,7.5,-1.5869444444444445,37.41722222222222,26
2021-01-06,3191E,COLMENAR VIEJO,MADRID,-3.7,-3.765,40.69611111111111,1004
2021-01-06,0016A,REUS AEROPUERTO,TARRAGONA,-5.1,1.163611111111111,41.144999999999996,71
2021-01-06,8058X,OLIVA,VALENCIA,-0.6,-0.09583333333333333,38.928888888888885,5
2021-01-06,0367,GIRONA AEROPUERTO,GIRONA,-3,2.763333333333333,41.91166666666666,143
2021-01-06,7247X,PINOSO,ALICANTE,-5.1,-1.0380555555555557,38.39972222222222,575
2021-01-06,3200,GETAFE,MADRID,-4.4,-3.7222222222222223,40.29944444444444,620
2021-01-06,4103X,TOMELLOSO,CIUDAD REAL,-8,-3.0075,39.16916666666666,662
2021-01-06,3175,TORREJÓN DE ARDOZ,MADRID,-6.1,-3.443611111111111,40.48861111111111,607
2021-01-06,3129,MADRID AEROPUERTO,MADRID,-6.9,-3.5555555555555554,40.46666666666667,609
2021-01-06,4067,MADRIDEJOS,TOLEDO,-8.4,-3.5283333333333333,39.49194444444444,690
2021-01-06,1014A,SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,-1.4,-1.7922222222222222,43.356944444444444,4
2021-01-06,7031X,SAN JAVIER AEROPUERTO,MURCIA,5.9,-0.8058333333333334,37.77833333333333,4
2021-01-06,7209,LORCA,MURCIA,1.6,-1.6872222222222222,37.65472222222222,312
2021-01-06,3519X,PLASENCIA,CACERES,-1.7,-6.085833333333333,40.043055555555554,415
2021-01-06,2755X,BENAVENTE,ZAMORA,-5.2,-5.666666666666667,42.01083333333333,715
2021-01-06,8175,ALBACETE BASE AÉREA,ALBACETE,-9.1,-1.856388888888889,38.95416666666667,702
2021-01-06,9244X,SOS DEL REY CATÓLICO,ZARAGOZA,-6,-1.213611111111111,42.490833333333335,626
2021-01-06,6277B,ADRA,ALMERIA,9.1,-3.0205555555555557,36.74722222222222,8
2021-01-06,9170,"LOGROÑO, AEROPUERTO",LA RIOJA,-2.8,-2.331111111111111,42.452222222222225,353
2021-01-06,9111,BELORADO,BURGOS,,-3.1702777777777778,42.42111111111111,820
2021-01-06,7031,SAN JAVIER AEROPUERTO,MURCIA,5.5,-0.8033333333333333,37.788888888888884,4
2021-01-06,5181D,ARROYO DEL OJANCO,JAEN,0,-2.8897222222222223,38.31472222222222,580
2021-01-06,B691Y,SA POBLA,ILLES BALEARS,-0.9,3.0166666666666666,39.74916666666667,40
2021-01-06,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,1.4,-4.392222222222222,43.39333333333333,38
