,n_viajes
2021-04-01 00:00:00,7.399
2021-04-01 01:00:00,21.204
2021-04-01 02:00:00,11.862
2021-04-01 03:00:00,45.897000000000006
2021-04-01 04:00:00,
2021-04-01 05:00:00,82.073
2021-04-01 06:00:00,14.798
2021-04-01 07:00:00,146.475
2021-04-01 08:00:00,174.776
2021-04-01 09:00:00,123.572
2021-04-01 10:00:00,237.72899999999998
2021-04-01 11:00:00,314.889
2021-04-01 12:00:00,242.761
2021-04-01 13:00:00,244.321
2021-04-01 14:00:00,337.566
2021-04-01 15:00:00,215.066
2021-04-01 16:00:00,179.079
2021-04-01 17:00:00,243.032
2021-04-01 18:00:00,134.721
2021-04-01 19:00:00,215.19
2021-04-01 20:00:00,150.267
2021-04-01 21:00:00,223.71099999999998
2021-04-01 22:00:00,152.735
2021-04-01 23:00:00,31.192999999999998
2021-04-02 00:00:00,17.070999999999998
2021-04-02 01:00:00,29.138
2021-04-02 02:00:00,
2021-04-02 03:00:00,
2021-04-02 04:00:00,27.929
2021-04-02 05:00:00,16.571
2021-04-02 06:00:00,53.315
2021-04-02 07:00:00,86.548
2021-04-02 08:00:00,99.195
2021-04-02 09:00:00,221.477
2021-04-02 10:00:00,172.44
2021-04-02 11:00:00,252.66400000000002
2021-04-02 12:00:00,212.354
2021-04-02 13:00:00,254.262
2021-04-02 14:00:00,194.862
2021-04-02 15:00:00,182.883
2021-04-02 16:00:00,211.829
2021-04-02 17:00:00,243.51500000000001
2021-04-02 18:00:00,201.48600000000002
2021-04-02 19:00:00,152.288
2021-04-02 20:00:00,144.812
2021-04-02 21:00:00,148.604
2021-04-02 22:00:00,140.638
2021-04-02 23:00:00,32.324
2021-04-03 00:00:00,51.819
2021-04-03 01:00:00,13.378
2021-04-03 02:00:00,18.076
2021-04-03 03:00:00,32.708
2021-04-03 04:00:00,18.152
2021-04-03 05:00:00,
2021-04-03 06:00:00,79.483
2021-04-03 07:00:00,64.795
2021-04-03 08:00:00,92.975
2021-04-03 09:00:00,74.61
2021-04-03 10:00:00,191.34
2021-04-03 11:00:00,174.003
2021-04-03 12:00:00,394.246
2021-04-03 13:00:00,345.759
2021-04-03 14:00:00,177.642
2021-04-03 15:00:00,277.231
2021-04-03 16:00:00,160.963
2021-04-03 17:00:00,179.487
2021-04-03 18:00:00,215.93
2021-04-03 19:00:00,164.534
2021-04-03 20:00:00,234.083
2021-04-03 21:00:00,160.642
2021-04-03 22:00:00,169.838
2021-04-03 23:00:00,7.28
2021-04-04 00:00:00,22.083
2021-04-04 01:00:00,7.918
2021-04-04 02:00:00,7.457
2021-04-04 03:00:00,7.409
2021-04-04 04:00:00,33.223
2021-04-04 05:00:00,46.44
2021-04-04 06:00:00,42.008
2021-04-04 07:00:00,42.019999999999996
2021-04-04 08:00:00,103.253
2021-04-04 09:00:00,108.87299999999999
2021-04-04 10:00:00,285.354
2021-04-04 11:00:00,280.487
2021-04-04 12:00:00,245.35999999999999
2021-04-04 13:00:00,283.002
2021-04-04 14:00:00,244.355
2021-04-04 15:00:00,157.257
2021-04-04 16:00:00,179.135
2021-04-04 17:00:00,228.671
2021-04-04 18:00:00,128.798
2021-04-04 19:00:00,230.22199999999998
2021-04-04 20:00:00,91.458
2021-04-04 21:00:00,76.067
2021-04-04 22:00:00,55.382
2021-04-04 23:00:00,48.866
2021-04-05 00:00:00,33.954
2021-04-05 01:00:00,
2021-04-05 02:00:00,33.97
2021-04-05 03:00:00,53.834
2021-04-05 04:00:00,38.893
2021-04-05 05:00:00,57.492000000000004
2021-04-05 06:00:00,86.665
2021-04-05 07:00:00,184.447
2021-04-05 08:00:00,181.417
2021-04-05 09:00:00,215.164
